date;value
09/12/2017;7959
16/12/2017;7526
23/12/2017;8744
30/12/2017;9798
06/01/2018;6858
13/01/2018;4501
20/01/2018;5043
27/01/2018;4629
03/02/2018;2983
10/02/2018;2765
17/02/2018;3776
24/02/2018;3632
03/03/2018;4204
10/03/2018;3928
17/03/2018;4455
24/03/2018;3898
31/03/2018;3932
07/04/2018;3684
14/04/2018;4021
21/04/2018;4320
28/04/2018;3945
05/05/2018;4582
12/05/2018;4685
19/05/2018;5329
26/05/2018;5275
02/06/2018;5566
09/06/2018;5490
16/06/2018;5927
23/06/2018;9551
30/06/2018;8537
07/07/2018;8205
14/07/2018;9062
21/07/2018;7230
28/07/2018;6342
04/08/2018;5450
11/08/2018;5228
18/08/2018;5066
25/08/2018;4538
01/09/2018;4431
08/09/2018;5599
15/09/2018;4508
22/09/2018;5912
29/09/2018;4600
06/10/2018;4455
13/10/2018;4601
20/10/2018;5398
27/10/2018;5123
03/11/2018;5909
10/11/2018;6595
17/11/2018;6361
24/11/2018;6471
01/12/2018;6795
08/12/2018;7984
15/12/2018;8778
22/12/2018;10683
29/12/2018;11702
05/01/2019;9434
12/01/2019;6654
19/01/2019;5350
26/01/2019;4550
02/02/2019;4710
09/02/2019;4433
16/02/2019;4461
23/02/2019;4438
02/03/2019;4538
09/03/2019;4353
16/03/2019;4164
23/03/2019;4291
30/03/2019;4532
06/04/2019;4321
13/04/2019;4333
20/04/2019;7413
27/04/2019;3935
04/05/2019;4341
11/05/2019;5095
18/05/2019;5489
25/05/2019;4739
01/06/2019;4971
08/06/2019;5394
15/06/2019;6806
22/06/2019;6275
29/06/2019;11113
06/07/2019;11452
13/07/2019;10872
20/07/2019;9343
27/07/2019;7437
03/08/2019;8355
10/08/2019;7641
17/08/2019;7600
24/08/2019;7377
31/08/2019;6549
07/09/2019;6918
14/09/2019;7287
21/09/2019;6892
28/09/2019;5547
05/10/2019;6459
12/10/2019;5838
19/10/2019;5894
26/10/2019;7925
